,image_id,chip_id,flood_id,polarization,location,scene_start
0,awc00_vh,awc00,awc,vh,Bolivia,2018-02-15
1,awc00_vv,awc00,awc,vv,Bolivia,2018-02-15
2,awc01_vh,awc01,awc,vh,Bolivia,2018-02-15
3,awc01_vv,awc01,awc,vv,Bolivia,2018-02-15
4,awc02_vh,awc02,awc,vh,Bolivia,2018-02-15
5,awc02_vv,awc02,awc,vv,Bolivia,2018-02-15
6,awc03_vh,awc03,awc,vh,Bolivia,2018-02-15
7,awc03_vv,awc03,awc,vv,Bolivia,2018-02-15
8,awc04_vh,awc04,awc,vh,Bolivia,2018-02-15
9,awc04_vv,awc04,awc,vv,Bolivia,2018-02-15
10,awc05_vh,awc05,awc,vh,Bolivia,2018-02-15
11,awc05_vv,awc05,awc,vv,Bolivia,2018-02-15
12,awc06_vh,awc06,awc,vh,Bolivia,2018-02-15
13,awc06_vv,awc06,awc,vv,Bolivia,2018-02-15
14,awc07_vh,awc07,awc,vh,Bolivia,2018-02-15
15,awc07_vv,awc07,awc,vv,Bolivia,2018-02-15
16,awc08_vh,awc08,awc,vh,Bolivia,2018-02-15
17,awc08_vv,awc08,awc,vv,Bolivia,2018-02-15
18,awc09_vh,awc09,awc,vh,Bolivia,2018-02-15
19,awc09_vv,awc09,awc,vv,Bolivia,2018-02-15
20,awc10_vh,awc10,awc,vh,Bolivia,2018-02-15
21,awc10_vv,awc10,awc,vv,Bolivia,2018-02-15
22,awc11_vh,awc11,awc,vh,Bolivia,2018-02-15
23,awc11_vv,awc11,awc,vv,Bolivia,2018-02-15
24,awc12_vh,awc12,awc,vh,Bolivia,2018-02-15
25,awc12_vv,awc12,awc,vv,Bolivia,2018-02-15
26,awc13_vh,awc13,awc,vh,Bolivia,2018-02-15
27,awc13_vv,awc13,awc,vv,Bolivia,2018-02-15
28,awc14_vh,awc14,awc,vh,Bolivia,2018-02-15
29,awc14_vv,awc14,awc,vv,Bolivia,2018-02-15
30,ayt00_vh,ayt00,ayt,vh,Nigeria,2018-09-21
31,ayt00_vv,ayt00,ayt,vv,Nigeria,2018-09-21
32,ayt01_vh,ayt01,ayt,vh,Nigeria,2018-09-21
33,ayt01_vv,ayt01,ayt,vv,Nigeria,2018-09-21
34,ayt02_vh,ayt02,ayt,vh,Nigeria,2018-09-21
35,ayt02_vv,ayt02,ayt,vv,Nigeria,2018-09-21
36,ayt03_vh,ayt03,ayt,vh,Nigeria,2018-09-21
37,ayt03_vv,ayt03,ayt,vv,Nigeria,2018-09-21
38,ayt04_vh,ayt04,ayt,vh,Nigeria,2018-09-21
39,ayt04_vv,ayt04,ayt,vv,Nigeria,2018-09-21
40,ayt05_vh,ayt05,ayt,vh,Nigeria,2018-09-21
41,ayt05_vv,ayt05,ayt,vv,Nigeria,2018-09-21
42,ayt06_vh,ayt06,ayt,vh,Nigeria,2018-09-21
43,ayt06_vv,ayt06,ayt,vv,Nigeria,2018-09-21
44,ayt07_vh,ayt07,ayt,vh,Nigeria,2018-09-21
45,ayt07_vv,ayt07,ayt,vv,Nigeria,2018-09-21
46,ayt08_vh,ayt08,ayt,vh,Nigeria,2018-09-21
47,ayt08_vv,ayt08,ayt,vv,Nigeria,2018-09-21
