image_id,chip_id,flood_id,polarization,location,scene_start,feature_path,label_path
awc00_vh,awc00,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc00_vh.tif,training_data/train_labels/awc00.tif
awc00_vv,awc00,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc00_vv.tif,training_data/train_labels/awc00.tif
awc01_vh,awc01,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc01_vh.tif,training_data/train_labels/awc01.tif
awc01_vv,awc01,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc01_vv.tif,training_data/train_labels/awc01.tif
awc02_vh,awc02,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc02_vh.tif,training_data/train_labels/awc02.tif
awc02_vv,awc02,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc02_vv.tif,training_data/train_labels/awc02.tif
awc03_vh,awc03,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc03_vh.tif,training_data/train_labels/awc03.tif
awc03_vv,awc03,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc03_vv.tif,training_data/train_labels/awc03.tif
awc04_vh,awc04,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc04_vh.tif,training_data/train_labels/awc04.tif
awc04_vv,awc04,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc04_vv.tif,training_data/train_labels/awc04.tif
awc05_vh,awc05,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc05_vh.tif,training_data/train_labels/awc05.tif
awc05_vv,awc05,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc05_vv.tif,training_data/train_labels/awc05.tif
awc06_vh,awc06,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc06_vh.tif,training_data/train_labels/awc06.tif
awc06_vv,awc06,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc06_vv.tif,training_data/train_labels/awc06.tif
awc07_vh,awc07,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc07_vh.tif,training_data/train_labels/awc07.tif
awc07_vv,awc07,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc07_vv.tif,training_data/train_labels/awc07.tif
awc08_vh,awc08,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc08_vh.tif,training_data/train_labels/awc08.tif
awc08_vv,awc08,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc08_vv.tif,training_data/train_labels/awc08.tif
awc09_vh,awc09,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc09_vh.tif,training_data/train_labels/awc09.tif
awc09_vv,awc09,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc09_vv.tif,training_data/train_labels/awc09.tif
awc10_vh,awc10,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc10_vh.tif,training_data/train_labels/awc10.tif
awc10_vv,awc10,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc10_vv.tif,training_data/train_labels/awc10.tif
awc11_vh,awc11,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc11_vh.tif,training_data/train_labels/awc11.tif
awc11_vv,awc11,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc11_vv.tif,training_data/train_labels/awc11.tif
awc12_vh,awc12,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc12_vh.tif,training_data/train_labels/awc12.tif
awc12_vv,awc12,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc12_vv.tif,training_data/train_labels/awc12.tif
awc13_vh,awc13,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc13_vh.tif,training_data/train_labels/awc13.tif
awc13_vv,awc13,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc13_vv.tif,training_data/train_labels/awc13.tif
awc14_vh,awc14,awc,vh,Bolivia,2018-02-15,training_data/train_features/awc14_vh.tif,training_data/train_labels/awc14.tif
awc14_vv,awc14,awc,vv,Bolivia,2018-02-15,training_data/train_features/awc14_vv.tif,training_data/train_labels/awc14.tif
ayt00_vh,ayt00,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt00_vh.tif,training_data/train_labels/ayt00.tif
ayt00_vv,ayt00,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt00_vv.tif,training_data/train_labels/ayt00.tif
ayt01_vh,ayt01,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt01_vh.tif,training_data/train_labels/ayt01.tif
ayt01_vv,ayt01,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt01_vv.tif,training_data/train_labels/ayt01.tif
ayt02_vh,ayt02,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt02_vh.tif,training_data/train_labels/ayt02.tif
ayt02_vv,ayt02,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt02_vv.tif,training_data/train_labels/ayt02.tif
ayt03_vh,ayt03,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt03_vh.tif,training_data/train_labels/ayt03.tif
ayt03_vv,ayt03,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt03_vv.tif,training_data/train_labels/ayt03.tif
ayt04_vh,ayt04,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt04_vh.tif,training_data/train_labels/ayt04.tif
ayt04_vv,ayt04,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt04_vv.tif,training_data/train_labels/ayt04.tif
ayt05_vh,ayt05,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt05_vh.tif,training_data/train_labels/ayt05.tif
ayt05_vv,ayt05,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt05_vv.tif,training_data/train_labels/ayt05.tif
ayt06_vh,ayt06,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt06_vh.tif,training_data/train_labels/ayt06.tif
ayt06_vv,ayt06,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt06_vv.tif,training_data/train_labels/ayt06.tif
ayt07_vh,ayt07,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt07_vh.tif,training_data/train_labels/ayt07.tif
ayt07_vv,ayt07,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt07_vv.tif,training_data/train_labels/ayt07.tif
ayt08_vh,ayt08,ayt,vh,Nigeria,2018-09-21,training_data/train_features/ayt08_vh.tif,training_data/train_labels/ayt08.tif
ayt08_vv,ayt08,ayt,vv,Nigeria,2018-09-21,training_data/train_features/ayt08_vv.tif,training_data/train_labels/ayt08.tif
